Time,output
801,2655.68
802,2676.28
803,2684.88
804,2699.06
805,2726.04
806,2731.56
807,2737.35
808,2754.15
809,2773.85
810,2786.23
811,2807.27
812,2809.54
813,2810.11
814,2826.07
815,2840.54
816,2854.9
817,2860.06
818,2869.57
819,2900.55
820,2911.15
821,2929.42
822,2934.11
823,2938.11
824,2956.97
825,2973.47
826,2985.49
827,2997.45
828,3014.03
829,3037.44
830,3038.46
831,3051.09
832,3059.34
833,3075.85
834,3082.3
835,3103.83
836,3115.38
837,3128.09
838,3145.55
839,3158.37
840,3167.76
841,3179.91
842,3187.91
843,3195.79
844,3204.54
845,3202.21
846,3212.68
847,3221.46
848,3244.1
849,3258.98
850,3263.37
851,3270.06
852,3276.5
853,3285.77
854,3300.82
855,3315.83
856,3317.42
857,3329.62
858,3333.07
859,3355.78
900,3358.78
901,3377.64
902,3400.38
903,3419.9
904,3432.76
905,3428.95
906,3440.08
907,3456.53
908,3464.04
909,3475.44
910,3486.41
911,3486.1
912,3500.79
913,3508.15
914,3517.02
915,3527.96
916,3540.23
917,3551.95
918,3568.17
919,3577.41
920,3585.18
921,3592.23
922,3599.32
923,3621.32
924,3639.77
925,3654.6
926,3654.35
927,3656.52
928,3663.53
929,3674.45
930,3676.75
931,3680.28
932,3690.22
933,3709.79
934,3712.63
935,3730
936,3738.3
937,3751.27
938,3770
939,3779.26
940,3793.36
941,3804.05
942,3809.56
943,3813.55
944,3817.19
945,3824.81
946,3837.11
947,3845.68
948,3857.19
949,3878.4
950,3879.11
951,3878.4
952,3879.86
953,3888.84
954,3893.95
955,3898.91
956,3903.08
957,3910.35
958,3917.31
959,3934.6
1000,3939.96
1001,3966.74
1002,3970.73
1003,3967.43
1004,3971.41
1005,3972.35
1006,3968.1
1007,3965.01
1008,3963.83
1009,3979.72
1010,3989.76
1011,3994.66
1012,4003.46
1013,4009.65
1014,4019.4
1015,4038.87
1016,4039.99
1017,4033.81
1018,4043.18
1019,4037.5
1020,4041.14
1021,4051.44
1022,4054.99
1023,4073.78
1024,4085.85
1025,4085.22
1026,4092.71
1027,4096.41
1028,4094.09
1029,4028.56
1030,4029.44
1031,4031.83
1032,4032.39
1033,4045.74
1034,4051.98
1035,4059.24
1036,4058.95
1037,4064.61
1038,4081.42
1039,4082.18
1040,4102.5
1041,4114.18
1042,4096.05
1043,4097.01
1044,4101
1045,4095.73
1046,4098.61
1047,4111.22
1048,4120.64
1049,4124.35
1050,4131.05
1051,4132.99
1052,4118.96
1053,4143.06
1054,4134.64
1055,4128.19
1056,4131.56
1057,4141.44
1058,4153.37
1059,4157.14
1100,4154.22
1101,4156.53
1102,3696.41
1103,4140.09
1104,4138.11
1105,4136.2
1106,4143.09
1107,4146.89
1108,4151.89
1109,4153.66
1110,4160.06
1111,4159.91
1112,4164.53
1113,4166.63
1114,4151.11
1115,4156.69
1116,3564.06
1117,3561.67
1118,3553.27
1119,3556.13
1120,3551.34
1121,3551.62
1122,3544.85
1123,3546.44
1124,3545.64
1125,3553.76
1126,3547.13
1127,3541.45
1128,3557.59
1129,3568.74
1130,3578.59
1131,3566.1
1132,3566.68
1133,3566.1
1134,3555.23
1135,3557.37
1136,3552.65
1137,3566.2
1138,3556.41
1139,3555.8
1140,3548.29
1141,3548.2
1142,3552.29
1143,3540.03
1144,3540.74
1145,3545.54
1146,3543.37
1147,3536.76
1148,3549.58
1149,3552.27
1150,3550.2
1151,3546.51
1152,3540.01
1153,3544.12
1154,3542.95
1155,3546.96
1156,3540.85
1157,3550.81
1158,3542
1159,3537.28
1200,3522.71
1201,3533.41
1202,3538.71
1203,3534.44
1204,3537.85
1205,3540.19
1206,3645.16
1207,4066.03
1208,4110.93
1209,4103.63
1210,4101.05
1211,4100.31
1212,4106.57
1213,4120.53
1214,4117.76
1215,4108.55
1216,4112.23
1217,4110.27
1218,4107.62
1219,4100.97
1220,4093.79
1221,4092.12
1222,4087.92
1223,4083.6
1224,4069.14
1225,4296.04
1226,4632.12
1227,4637.47
1228,4622.14
1229,4625.04
1230,4611.32
1231,4610.48
1232,4613.92
1233,4598.98
1234,4580.06
1235,4587.95
1236,4569.21
1237,4542.77
1238,4528.27
1239,4548.24
1240,4557.79
1241,4567.84
1242,4558.14
1243,4550.7
1244,4543.9
1245,4548.03
1246,4519.32
1247,4514.8
1248,4512.38
1249,4517.51
1250,4503.11
1251,4508.18
1252,4494.06
1253,4489.78
1254,4480.92
1255,4482.18
1256,4494.78
1257,4505.96
1258,4501.88
1259,4492.71
400,0.23
401,0.23
402,0.23
403,0.21
404,0.23
405,0.23
406,0.24
407,0.24
408,0.24
409,0.26
410,0.25
411,0.24
412,0.23
413,0.23
414,0.24
415,0.23
416,0.25
417,0.24
418,0.24
419,0.23
420,0.24
421,0.23
422,0.25
423,0.24
424,0.25
425,0.24
426,0.23
427,0.24
428,0.25
429,0.23
