,Time,Actual,predicted
247,1614,190.5,1179.6873576359121
248,1430,2856.19,2163.43840739581
249,1805,257.53,158.5109962003644
250,1543,2918.13,1559.2869474889158
251,1306,2107.73,2826.4010713644366
252,1623,23.82,1131.569099767221
253,1735,102.83,532.7641129568474
254,1838,29.11,-17.92261598483492
255,1810,61.83,131.77863071775937
256,1443,3199.48,2093.9342571410343
257,1801,15.7,179.89688858644877
258,1313,4191.56,2788.9757596887885
259,1550,1234.15,1521.8616358132676
260,1505,3268.66,1762.452925156721
261,1502,2948.74,1778.4923444462838
262,1705,1669.52,693.158305852483
263,1645,304.68,1013.9466916437541
264,1504,298.24,1767.7993982532416
265,1837,0.72,-12.57614288831428
266,1544,1565.63,1553.9404743923951
267,1604,2719.08,1233.152088601124
268,1450,3617.41,2056.508945465386
269,1547,505.66,1537.9010551028314
270,1844,0.09,-50.0014545639624
271,1545,2251.71,1548.5940012958727
272,1832,0.17,14.156222594292558
273,1649,1506.76,992.5607992576697
274,1316,3785.6,2772.9363403992247
275,1758,62.96,409.79523173685993
276,1821,0.11,72.96742665602505
277,1614,2484.13,1179.6873576359121
278,1358,3976.36,2548.384470345335
279,1454,3901.95,2035.123053079301
280,1733,1057.85,543.4570591498905
281,1740,507.1,506.03174747424237
282,1522,2031.99,1671.56288251586
283,1433,2905.25,2147.398988106246
284,1546,2686.52,1543.247528199352
285,1617,2484.07,1163.6479383463484
286,1330,3955.05,2698.0857170479285
287,1800,57.54,185.24336168297123
288,1701,1411.97,714.5441982385673
289,1500,2851.72,1789.185290639327
290,1721,156.39,607.6147363081436
291,1419,327.71,2222.2496114575424
292,1849,0.07,-76.73382004656742
293,1757,44.19,415.1417048333824
294,1514,95.56,1714.3346672880298
295,1731,111.86,554.1500053429318
296,1329,1386.05,2703.43219014445
297,1511,1793.07,1730.3740865775935
298,1832,2.35,14.156222594292558
299,1349,1112.27,2596.5027282140254
300,1551,514.44,1516.5151627167452
301,1733,681.04,543.4570591498905
302,1404,86.54,2302.44670790536
303,1454,3538.65,2035.123053079301
304,1633,518.03,1078.104368802009
305,1659,76.91,939.0960682924579
306,1637,2148.85,1056.7184764159247
307,1738,446.64,516.7246936672836
308,1847,0.08,-66.04087385352614
309,1537,2676.05,1591.3657860680432
